path,file,sizeBytes,size,mime,width,height,orientation,suggestedCategory,placementSuggestions
Images/Draco Coffee And Eatery 10_files/unnamed(77).png,unnamed(77).png,3903,3.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(78).png,unnamed(78).png,10974,10.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(79).png,unnamed(79).png,1827,1.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(80).png,unnamed(80).png,3719,3.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(81).png,unnamed(81).png,12104,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(82).png,unnamed(82).png,13498,13.2 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(83).png,unnamed(83).png,11977,11.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(84).png,unnamed(84).png,7889,7.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(85).png,unnamed(85).png,10250,10.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(86).png,unnamed(86).png,7970,7.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(87).png,unnamed(87).png,7882,7.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(88).png,unnamed(88).png,12633,12.3 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(89).png,unnamed(89).png,5758,5.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(90).png,unnamed(90).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
